Sample,ichorCNA TC
s_DS_fastcf_081_PL1,0.08105
s_DS_fastcf_071_PL1,0.1199
s_DS_fastcf_082_PL1,0.08633
s_DS_fastcf_088_PL1,0.05899
s_DS_fastcf_094_PL1,0.06405
s_DS_fastcf_107_PL1,0.08566
s_DS_fastcf_130_PL1,0.2935
s_DS_fastcf_125_PL1,0.1617
s_DS_fastcf_095_PL1,0.09033
s_DS_fastcf_101_PL1,0.07557
s_DS_fastcf_103_PL1,0.6948
s_DS_fastcf_119_PL1,0.08692
s_DS_fastcf_083_PL1,0.06864
s_DS_fastcf_096_PL1,0
s_DS_fastcf_111_PL1,0.2942
s_DS_fastcf_102_PL1,0
s_DS_fastcf_129_PL1,0.06846
s_DS_fastcf_099_PL1,0.07265
s_DS_fastcf_087_PL1,0.07815
s_DS_fastcf_086_PL1,0.08042
s_DS_fastcf_112_PL1,0.2116
s_DS_fastcf_085_PL1,0.06953
s_DS_fastcf_100_PL1,0.1713
s_DS_fastcf_108_PL1,0.3271
s_DS_fastcf_072_PL1,0.04167
s_DS_fastcf_080_PL1,0.0528
s_DS_fastcf_117_PL1,0.08727
s_DS_fastcf_084_PL1,0.06781
s_DS_fastcf_089_PL1,0.06758
s_DS_fastcf_073_PL1,0
s_DS_fastcf_093_PL1,0.03641
s_DS_fastcf_113_PL1,0.05996
s_DS_fastcf_120_PL1,0.6249
s_DS_fastcf_098_PL1,0.3819
s_DS_fastcf_074_PL1,0.06584
s_DS_fastcf_105_PL1,0.3683
s_DS_fastcf_109_PL1,0.07742
s_DS_fastcf_075_PL1,0.119
s_DS_fastcf_104_PL1,0.3451
s_DS_fastcf_115_PL1,0.1088
s_DS_fastcf_114_PL1,0.4442
s_DS_fastcf_090_PL1,0.06899
s_DS_fastcf_126_PL1,0.152
s_DS_fastcf_121_PL1,0.07157
s_DS_fastcf_123_PL1,0.05768
s_DS_fastcf_076_PL1,0.2333
s_DS_fastcf_097_PL1,0.06826
s_DS_fastcf_079_PL1,0.1026
s_DS_fastcf_128_PL1,0.05859
s_DS_fastcf_122_PL1,0.1527
s_DS_fastcf_127_PL1,0
s_DS_fastcf_124_PL1,0.08551
s_DS_fastcf_078_PL1,0.07599
s_DS_fastcf_077_PL1,0.05497
s_DS_fastcf_092_PL1,0.07351
s_DS_fastcf_091_PL1,0.08511
s_DS_fastcf_013_PL1,0.07353
s_DS_fastcf_015_PL1,0.1077
s_DS_fastcf_011_PL1,0.4161
s_DS_fastcf_023_PL1,0.07347
s_DS_fastcf_008_PL1,0.08209
s_DS_fastcf_010_PL1,0.06705
s_DS_fastcf_009_PL1,0.4063
s_DS_fastcf_027_PL1,0.09476
s_DS_fastcf_019_PL1,0.09291
s_DS_fastcf_016_PL1,0.04821
s_DS_fastcf_002_PL1,0.1275
s_DS_fastcf_014_PL1,0.1874
s_DS_fastcf_006_PL1,0.08022
s_DS_fastcf_001_PL1,0.1962
s_DS_fastcf_017_PL1,0.2617
s_DS_fastcf_004_PL1,0.07069
s_DS_fastcf_026_PL1,0.06599
s_DS_fastcf_028_PL1,0.4038
s_DS_fastcf_007_PL1,0.0522
s_DS_fastcf_029_PL1,0.05736
s_DS_fastcf_003_PL1,0.2971
s_DS_fastcf_022_PL1,0.06791
s_DS_fastcf_021_PL1,0
s_DS_fastcf_020_PL1,0.06714
s_DS_fastcf_012_PL1,0.5273
s_DS_fastcf_005_PL1,0.06657
s_DS_fastcf_024_PL1,0.09302
s_DS_fastcf_025_PL1,0.04689
s_DS_fastcf_018_PL1,0.05348
s_DS_fastcf_030_PL1,0.05507
s_DS_fastcf_066_PL1,0.6903
s_DS_fastcf_070_PL1,0.3139
s_DS_fastcf_068_PL1,0.676
s_DS_fastcf_067_PL1,0.09239
s_DS_fastcf_061_PL1,0.0804
s_DS_fastcf_062_PL1,0.1252
s_DS_fastcf_065_PL1,0.1085
s_DS_fastcf_063_PL1,0.295
s_DS_fastcf_043_PL1,0.3341
s_DS_fastcf_058_PL1,0.21560000000000001
s_DS_fastcf_057_PL1,0.5301
s_DS_fastcf_032_PL1,0.06833
s_DS_fastcf_047_PL1,0.7459
s_DS_fastcf_041_PL1,0.0686
s_DS_fastcf_037_PL1,0.09681
s_DS_fastcf_034_PL1,0.3363
s_DS_fastcf_055_PL1,0.07525
s_DS_fastcf_038_PL1,0.1639
s_DS_fastcf_048_PL1,0.08971
s_DS_fastcf_052_PL1,0.2069
s_DS_fastcf_045_PL1,0.7701
s_DS_fastcf_042_PL1,0.5992
s_DS_fastcf_054_PL1,0.2211
s_DS_fastcf_039_PL1,0.04523
s_DS_fastcf_050_PL1,0.07073
s_DS_fastcf_049_PL1,0.05543
s_DS_fastcf_033_PL1,0.06335
s_DS_fastcf_046_PL1,0
s_DS_fastcf_056_PL1,0.335
s_DS_fastcf_035_PL1,0.0667
s_DS_fastcf_036_PL1,0
s_DS_fastcf_031_PL1,0
